epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,460.348,1.1796,2.79085,2.80859,0.0154,2.62343,0.49947,0.44616,0.43802,0.24712,0.39916,0.34738,0.28982,0.14566,1.438,3.19879,2.11004,0.03114,0,0.00998967,0.00332989,0.00998967,0.00332989,0.0766908,0.070031,0.00998967,0.00332989
2,814.419,1.27979,2.72936,2.03712,0.01691,1.92348,0.46426,0.45117,0.43599,0.23476,0.36069,0.34977,0.28278,0.12644,1.53114,3.24043,2.04024,0.03403,0,0.0199875,0.0066625,0.0199875,0.0066625,0.0533553,0.0400303,0.0199875,0.0066625
3,1141.76,1.41417,2.886,2.14849,0.01891,2.0003,0.43745,0.3619,0.35236,0.17944,0.33402,0.28756,0.22687,0.09878,1.72455,3.42756,2.30929,0.03944,0,0.0299766,0.00999222,0.0299766,0.00999222,0.0300111,0.0100267,0.0299766,0.00999222
4,1456.77,1.51434,3.01414,2.26953,0.02042,2.03367,0.48332,0.41128,0.40457,0.21151,0.39721,0.31932,0.25808,0.11843,1.65917,3.37999,2.23721,0.0379,0,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
5,1774.26,1.48598,2.95093,2.19768,0.01996,1.94989,0.50994,0.46127,0.45485,0.23604,0.4046,0.36391,0.29717,0.13832,1.64148,3.26417,2.01637,0.0373,0,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264
6,2092.24,1.47033,2.89541,2.11685,0.01958,1.89889,0.5028,0.47034,0.45691,0.24965,0.39231,0.38287,0.30683,0.14254,1.57555,3.22193,2.00846,0.03537,0,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288
7,2410.58,1.43506,2.8452,2.05559,0.01922,1.80015,0.529,0.49444,0.4971,0.27058,0.43361,0.39726,0.34049,0.16427,1.58349,3.14249,1.89724,0.0355,0,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
8,2729.54,1.43001,2.81395,2.02284,0.019,1.76315,0.52819,0.47615,0.4863,0.27163,0.42037,0.3941,0.33253,0.16183,1.55179,3.14702,2.00004,0.03438,0,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469
9,3047.43,1.41467,2.78292,1.9901,0.01879,1.74258,0.57614,0.51742,0.54773,0.30562,0.44655,0.41911,0.37501,0.17647,1.56146,3.07278,1.7293,0.03486,0,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068
10,3363.84,1.39828,2.76634,1.94002,0.01853,1.70729,0.58098,0.52511,0.54293,0.3042,0.46803,0.42591,0.38024,0.18278,1.51019,3.05319,1.75944,0.03349,0,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
11,3681.88,1.39326,2.74109,1.91096,0.01838,1.67516,0.589,0.54683,0.56316,0.31881,0.48114,0.44328,0.3997,0.19802,1.50447,2.97092,1.67079,0.03328,0,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183
12,4000.86,1.37528,2.68891,1.86931,0.01807,1.63138,0.59255,0.54008,0.56749,0.31937,0.48806,0.44517,0.40795,0.20036,1.50269,2.98601,1.67998,0.03319,0,0.0296076,0.00986922,0.0296076,0.00986922,0.0296076,0.00986922,0.0296076,0.00986922
